4,1,102942,48309,42980,59881,40407,44208,53352,54128,53256,47412,68344,96293,79747,67664,61130,34636
4,-1,43557,38374,100496,39290,77297,52830,76583,48999,34038,106159,110204,50591,41529,32590,43456,64262
4,2,41307,33843,37952,85263,71780,67235,72383,52522,56527,54132,50776,81000,51057,37500,54338,40117
4,-15,97598,63614,46183,44774,51296,38550,78472,54713,67941,36723,54249,43296,66634,33703,37612,33312
4,-2,33021,33717,34673,32796,34144,32543,33901,32863,32201,34024,32789,60869,39048,33715,32071,39172
4,0,47506,36850,35033,33965,33515,33134,32910,33841,32118,31935,32250,32574,33584,32080,32708,34360
4,15,34753,35132,55301,32492,39248,33163,32701,32813,34435,32129,32284,56602,29533,29516,29320,29656
2,1,30664,29323,31187,31454,40184,71195,62480,38295,66597,70091,58667,67877,31222,60062,30292,29518
2,-1,29143,67160,37126,30232,29511,49953,29440,30804,30214,29785,29336,30860,36267,31311,32061,30367
2,2,31365,31103,29957,31205,29643,29923,73009,41651,31919,29209,28465,46547,30653,29008,29193,29217
2,-15,31372,29897,29236,30295,29497,31114,29458,31174,30329,31090,31370,30882,41719,75610,59396,32011
2,-2,29813,29111,28980,28758,29327,28888,51578,29130,54898,27493,26935,27282,27099,27954,26873,28405
2,0,27551,27208,27396,27436,27098,27100,27082,27703,26834,27285,27901,52888,27996,60328,54836,26526
2,15,118810,125129,89749,80255,172044,117555,100710,73187,84871,53466,53213,90595,44133,58030,83203,37329